baslik,yazar,ulke,konu,tur,yayim_yili,yayimci,sayfa_sayisi,isbn,ozet,kategori,detail_url
Zahit,Hasan Özkılıç,Türkiye,Türkiye'deki zorunlu göç ve 1996’da cezaevlerinde yaşanan ölüm oruçları,Roman,Kasım 2012,Can Yayınları,284,9789750715631,,Türk romanları,https://tr.wikipedia.org/wiki/Zahit
Yılkı Atı,Abbas Sayar,Türkiye,,Roman,1970,Ötüken Neşriyat,120,9789754374063,,Türk romanları,https://tr.wikipedia.org/wiki/Y%C4%B1lk%C4%B1_At%C4%B1
Yaraya Tuz Basmak,Atilla İlhan,Türkiye,1960 dönemi Türkiye,Roman,1978,Bilgi Yayınevi,,9754945136,,Türk romanları,https://tr.wikipedia.org/wiki/Yaraya_Tuz_Basmak
Üç Kağıtçı,,,,,,,,,,Türk romanları,https://tr.wikipedia.org/wiki/%C3%9C%C3%A7_Ka%C4%9F%C4%B1t%C3%A7%C4%B1_(roman)
Mavi Sürgün,Halikarnas Balıkçısı,Türkiye,,Anı,1961,Remzi Kitabevi,226,,,Türk sürgün romanları,https://tr.wikipedia.org/wiki/Mavi_S%C3%BCrg%C3%BCn
Yılanı Öldürseler,Yaşar Kemal,Türkiye,,Roman,1976,,,9789750807046,,Tiyatroya uyarlanmış Türk romanları,https://tr.wikipedia.org/wiki/Y%C4%B1lan%C4%B1_%C3%96ld%C3%BCrseler
Zehra,Nabizâde Nâzım,Türkiye,,Roman,1896,,,,,Tanzimat dönemi romanları,https://tr.wikipedia.org/wiki/Zehra_(roman)
Zübük,Aziz Nesin,Türkiye,,Roman,1961,Adam Yayınları / Nesin Yayınevi (2005),280,978-975-9038-49-6,,Sinemaya uyarlanmış Türk romanları,https://tr.wikipedia.org/wiki/Z%C3%BCb%C3%BCk
Hüküm Gecesi,Yakup Kadri Karaosmanoğlu,,,Roman,1987 - (İlk basım 1927),,334,9789754705676,,Millî edebiyat romanları,https://tr.wikipedia.org/wiki/H%C3%BCk%C3%BCm_Gecesi
Yorgun Savaşçı,Kemal Tahir,Türkiye,,Roman,,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Yorgun_Sava%C5%9F%C3%A7%C4%B1
Ebüssüreyya Sami,,,,,,,,,,Amanvermez Avni maceraları,https://tr.wikipedia.org/wiki/Eb%C3%BCss%C3%BCreyya_Sami
Yediçınar Yaylası,Kemal Tahir,Türkiye,,Roman,1958,İthaki Yayınevi,368,978-975-273-416-6,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Yedi%C3%A7%C4%B1nar_Yaylas%C4%B1
Eylül (kitap),Mehmet Rauf,Osmanlı İmparatorluğu,,,1901,,,,,20. yüzyıl Türk romanları,https://tr.wikipedia.org/wiki/Eyl%C3%BCl_(kitap)
Taaşşuk-ı Talat ve Fitnat,Şemsettin Sami,,,Roman,1875,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Taa%C5%9F%C5%9Fuk-%C4%B1_Talat_ve_Fitnat
Sergüzeşt,Samipaşazade Sezai,,,Roman,1888,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Serg%C3%BCze%C5%9Ft
Zemheri Kuyusu,Metin Savaş,,,Roman,2005,Ötüken Yayınları,,978-975-437-525-1,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Zemheri_Kuyusu
Yüreğim Seni Çok Sevdi,Canan Tan,,,Roman,2007 (1. Basım),Altın Kitaplar,,9789752108226,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Y%C3%BCre%C4%9Fim_Seni_%C3%87ok_Sevdi
Yolda Üç Kişi,Tuna Kiremitçi,,,Roman,Nisan 2005,Doğan Kitapçılık,,975-293-322-X,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Yolda_%C3%9C%C3%A7_Ki%C5%9Fi
Yere Düşen Dualar,,,,,,,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Yere_D%C3%BC%C5%9Fen_Dualar
Yeni Hayat,Orhan Pamuk,,,Roman,1994,İletişim Yayınları,,975-470-445-7,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Yeni_Hayat_(roman)
Yedinci Gün (İhsan Oktay Anar),İhsan Oktay Anar,Türkiye,,Fantastik kurgu,Ağustos 2012,İletişim Yayınları,240,9789750510861,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Yedinci_G%C3%BCn_(%C4%B0hsan_Oktay_Anar)
Yalan Dünya,Sibel Köklü,,,Polisiye roman,2007,İstiklal Kitabevi,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Yalan_D%C3%BCnya_(roman)
Yalan,,,,,,,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Yalan_(roman)
Yağmurcuk Kuşu,Yaşar Kemal,,,Roman,1980,Toros Yayınları,,975-08-0730-8,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Ya%C4%9Fmurcuk_Ku%C5%9Fu
Yağmur Beklerken,Tarık Buğra,,,,1981,Ötüken Yayınları,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Ya%C4%9Fmur_Beklerken_(roman)
Uykuların Doğusu,Hasan Ali Toptaş,Türkiye,,Roman,Eylül 2005,Doğan Kitap,229,9789752933637,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Uykular%C4%B1n_Do%C4%9Fusu
Uykuda Çocuk Ölümleri,Ali Teoman,Türkiye,,Roman,2011 (2. basım),Yapı Kredi Yayınları,447,9789750804168,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Uykuda_%C3%87ocuk_%C3%96l%C3%BCmleri
Veda,Ayşe Kulin,Türkiye,I. Dünya Savaşı sonunda işgal altındaki İstanbul .,Roman,2007,Everest Yayınları,390,978-975-289-440-2,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Veda_(roman)
Ustam ve Ben,Elif Şafak,Türkiye,Mimar Sinan ve öğrencilerinin yaşamı,Roman,Aralık 2013,Doğan Kitap,480,978-605-09-1803-8,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Ustam_ve_Ben
Unutma Beni Apartmanı,Nermin Yıldırım,Türkiye,,Roman,Mart 2011,Doğan Kitap,420,978-605-09-0012-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Unutma_Beni_Apartman%C4%B1
Umut (Ayşe Kulin romanı),Ayşe Kulin,Türkiye,,Roman,2009,Everest Yayınları,392,978-975-289-596-6,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Umut_(Ay%C5%9Fe_Kulin_roman%C4%B1)
Türkan,Ayşe Kulin,Türkiye,Biyografi,Roman,2009 (En yakın basım tarihi),Everest,332,978-975-289-616-1,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/T%C3%BCrkan_(roman)
Tutunamayanlar,Oğuz Atay,Türkiye,,Roman,1971-1972 (2 cilt),Sinan Yayınları,671,9789750525728,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Tutunamayanlar
Tutsak Güneş,Ayşe Kulin,Türkiye,,Distopik roman,Ekim 2015,Everest Yayınları,440,9786051419336,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Tutsak_G%C3%BCne%C5%9F
Tehlikeli Oyunlar,Oğuz Atay,Türkiye,,Roman,1973,Sinan Yayınları İletişim Yayınları,479,9754702098,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Tehlikeli_Oyunlar_(roman)
Şu Çılgın Türkler,Turgut Özakman,Türkiye,,Roman,2005,Bilgi Yayınevi,752,975-2201-27-X,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C5%9Eu_%C3%87%C4%B1lg%C4%B1n_T%C3%BCrkler
Şehrin Aynaları,Elif Şafak,,,Roman,1999,"İlk Basım: 1999, İletişim Yayınları Diğer Basımlar: Metis Yayınları",,9753422989,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C5%9Eehrin_Aynalar%C4%B1
Şah & Sultan,İskender Pala,Türkiye,,Tarihî roman,Ekim 2010,Kapı Yayınları,390,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C5%9Eah_%26_Sultan
Suskunlar,İhsan Oktay Anar,Türkiye,,Fantastik kurgu,Ekim 2007,İletişim Yayınları,269,9789750505386,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Suskunlar_(roman)
Sus Barbatus!,Faruk Duman,Türkiye,,Roman,16 Kasım 2018,Hep Kitap,568,9789750723223,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Sus_Barbatus!
Sudaki İz,Ahmet Altan,Türkiye,,Roman,1985,"Can Yayınları , Everest Yayınları",264,9755103430,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Sudaki_%C4%B0z
Su- Uyumsuz Defne Kaman'ın Maceraları,Buket Uzuner,Türkiye,,Polisiye roman,Mart 2012,Everest,344,9786051410036,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Su-_Uyumsuz_Defne_Kaman%27%C4%B1n_Maceralar%C4%B1
Sokaklardan Bir Ali,Canan Tan,,,Roman,2006 (1. Basım),Altın Kitaplar,,9755652639,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Sokaklardan_Bir_Ali
Siyah Süt,Elif Şafak,,,Roman,2007,Doğan Kitap,308,978-975-991-531-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Siyah_S%C3%BCt
Sıcak Külleri Kaldı,Oya Baydar,Türkiye,,Roman,2000,Can Yayınları,438,9782264068910,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/S%C4%B1cak_K%C3%BClleri_Kald%C4%B1
Sevdalinka,Ayşe Kulin,,,Roman,23 Kasım 1999 (20. Basım),Ekim Yayınları,,975-289-242-6,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Sevdalinka_(roman)
Sessiz Ev,Orhan Pamuk,Türkiye,,Roman,1983,1. Basım: Can,,975-510-215-9,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Sessiz_Ev
Selanik'te Sonbahar,Tuna Kiremitçi,,,Roman,Mayıs 2011,Doğan Kitap,288,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Selanik%27te_Sonbahar
Salkım Hanımın Taneleri,Yılmaz Karakoyunlu,,,Roman,2000,Öteki Yayınevi,,975-6719-26-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Salk%C4%B1m_Han%C4%B1m%C4%B1n_Taneleri
Ruhi Mücerret,Murat Menteş,Türkiye,,Roman,Mart 2013,April Yayıncılık,320,9786055162054,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Ruhi_M%C3%BCcerret
Puslu Kıtalar Atlası,İhsan Oktay Anar,Türkiye,,Fantastik tarihi kurgu,Ocak 1995,İletişim Yayınları,238,9789754704723,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Puslu_K%C4%B1talar_Atlas%C4%B1
Piraye,Canan Tan,,,Roman,2011,Altın Kitaplar,,9786050931488,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Piraye_(roman)
Pinhan,Elif Şafak,,,Roman,Aralık 1997,Metis Yayınları,,975-342-297-0,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Pinhan
Pencereden,Güray Süngü,Türkiye,,Roman,2006,Birharf Yayınları,176,9759198495,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Pencereden
Patasana,Ahmet Ümit,Türkiye,,Polisiye roman,2000,Om Yayınevi,477,9789756827369,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Patasana
Ölümün Gölgesi Yok,Adnan Binyazar,Türkiye,,Roman,2004,Can Yayınları,327,975-07-0388-X,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C3%96l%C3%BCm%C3%BCn_G%C3%B6lgesi_Yok
Ölmez Otu,Yaşar Kemal,Türkiye,,Roman,1968,Ant Yayınları,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C3%96lmez_Otu
O Muhteşem Hayatınız,Oya Baydar,Türkiye,,Roman,2012,Can Yayınları,478,978-975-07-1565-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/O_Muhte%C5%9Fem_Hayat%C4%B1n%C4%B1z
Nefes Nefese,Ayşe Kulin,,,Roman,20 Mayıs 2002 (1. Basım),Remzi Kitabevi,,975-14-0904-7,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Nefes_Nefese_(roman)
Nar Ağacı,Nazan Bekiroğlu,Türkiye,,Roman,2012,Timaş Yayınları,536,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Nar_A%C4%9Fac%C4%B1
Mücellâ,Nazan Bekiroğlu,Türkiye,,Roman,Kasım 2015,Timaş Yayınları,344,978-605-08-2041-6,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/M%C3%BCcell%C3%A2
Mor,İnci Aral,Türkiye,,Roman,2003,Epsilon Yayınları,333,9753314124,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Mor_(roman)
Masumiyet Müzesi,Orhan Pamuk,Türkiye,,Roman,29 Ağustos 2008 [ 1 ],İletişim Yayınları,592,978-975-05-0609-3,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Masumiyet_M%C3%BCzesi
Masalını Yitiren Dev,Adnan Binyazar,Türkiye,,,2000,Can Yayınları,296,978-975-07-0017-0,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Masal%C4%B1n%C4%B1_Yitiren_Dev
Mahrem,Elif Şafak,Türkçe,,Roman,Ağustos 2000,Metis Yayınları,214,9753422857,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Mahrem_(roman)
Leyla'nın Evi,Ö. Zülfü Livaneli,Türkiye,,Roman,2006,Remzi Kitabevi,272,975-14-1123-8,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Leyla%27n%C4%B1n_Evi
Lâ: Sonsuzluk Hecesi,Nazan Bekiroğlu,Türkiye,,Roman,2008,Timaş Yayınları,384,9789752638518,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/L%C3%A2:_Sonsuzluk_Hecesi
Küçük Ağa,Tarık Buğra,Türkiye,,,1963,Yağmur Yayınları,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/K%C3%BC%C3%A7%C3%BCk_A%C4%9Fa
Kuşlar da Gitti,Yaşar Kemal,Türkiye,,Uzun öykü,1978,Milliyet Yayınları,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Ku%C5%9Flar_da_Gitti
Kukla,Ahmet Ümit,,,Roman,2002,Everest Yayınları,,9789752897403,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kukla_(roman)
Köprü,Ayşe Kulin,,,Roman,30 Haziran 2001 (1. Basım),Everest Yayınları,,975-289-263-9,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/K%C3%B6pr%C3%BC_(roman)
Köpekler İçin Gece Müziği,Faruk Duman,Türkiye,,Roman,2014,Can Yayınları,136,9789750723223,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/K%C3%B6pekler_%C4%B0%C3%A7in_Gece_M%C3%BCzi%C4%9Fi
Konstantiniyye Oteli,Ö. Zülfü Livaneli,Türkiye,,Roman,2015,Doğan Kitap İnkılap Kitabevi,480,978-605-0926-31-6,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Konstantiniyye_Oteli
Kitab-ül Hiyel,İhsan Oktay Anar,Türkiye,Eski zaman mucitlerinin inanılmaz hayat öyküleri,Fantastik kurgu,Mayıs 1996,İletişim Yayınları,144,9789754705423,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kitab-%C3%BCl_Hiyel_(roman)
Kimse (kitap),,,,,,,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kimse_(kitap)
Kırmızı Saçlı Kadın,Orhan Pamuk,Türkiye,,,2016,Yapı Kredi Yayınları,204,9789750835605,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/K%C4%B1rm%C4%B1z%C4%B1_Sa%C3%A7l%C4%B1_Kad%C4%B1n
Kestane Kıranında Kadınlar,Tahir Musa Ceylan,Türkiye,XX. yy. başında bir kadın kahramanın şahsında bir ailenin varolma savaşı,Postmodern roman,2008,Kanat Kitap,319,9789758859818,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kestane_K%C4%B1ran%C4%B1nda_Kad%C4%B1nlar
Kem Gözlere Anadolu,Elif Şafak,,,Öykü Dizisi,1994,Evrensel Kültür Kitaplığı,,9789757857297,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kem_G%C3%B6zlere_Anadolu
Kaybedenlerin Öyküsü,,,,,,,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kaybedenlerin_%C3%96yk%C3%BCs%C3%BC
Karartma Geceleri,Rıfat Ilgaz,Türkiye,,Roman,1974,Çınar Yayınları,219,978-975-348-024-6,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Karartma_Geceleri
Karadelik Güncesi,Ali Teoman,Türkiye,,Roman,Şubat 2007,Sel Yayıncılık,541,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Karadelik_G%C3%BCncesi
Kara Kitap,Orhan Pamuk,,,Roman,1990,Can Yayınları / İletişim Yayınları / Yapı Kredi Yayınları,,975-470-453-8,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kara_Kitap
Kar,Orhan Pamuk,Türkiye,,Roman,,İletişim Yayınları,429,9754709610,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kar_(roman)
Kanın Sesi,Yaşar Kemal,Türkiye,,Roman,1991,Toros Yayınları,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kan%C4%B1n_Sesi
Kanadı Kırık Kuşlar,Ayşe Kulin,Türkiye,,,10 Kasım 2016,Everest Yayınları,392,9786051850788,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kanad%C4%B1_K%C4%B1r%C4%B1k_Ku%C5%9Flar
Kale Kapısı,Yaşar Kemal,,,Roman,1985,Toros Yayınları,,9789750807466,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kale_Kap%C4%B1s%C4%B1
Kafamda Bir Tuhaflık,Orhan Pamuk,Türkiye,,Roman,2014,Yapı Kredi Yayınları,490,978-975-08-3088-4,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Kafamda_Bir_Tuhafl%C4%B1k
İz,Canan Tan,,,Roman,2011 (1. Basım),Altın Kitaplar,,9789752113251,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0z_(roman)
İstanbullular,Buket Uzuner,,,Roman,Şubat 2007,Everest,,978-975-289-377-1,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0stanbullular
İstanbul Hatırası,Ahmet Ümit,,,Roman,2010,Everest,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0stanbul_Hat%C4%B1ras%C4%B1
İstanbul Dörtlüsü,,,,,,,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0stanbul_D%C3%B6rtl%C3%BCs%C3%BC
İskender,Elif Şafak,Türkiye,,Roman,22 Temmuz 2011,Doğan Kitap,448,6050902518,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0skender_(roman)
İncir Tarihi,Faruk Duman,Türkiye,,Roman,Şubat 2010,Can Yayınları,372,9789750711299,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0ncir_Tarihi
İnce Memed IV,Yaşar Kemal,Türkiye,,Roman,1987,Toros Yayınları Yapı Kredi Yayınları,639,978-975-08-0699-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0nce_Memed_IV
İnce Memed III,Yaşar Kemal,Türkiye,,Roman,1984,Toros Yayınları Yapı Kredi Yayınları,629,978-975-08-0703-9,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0nce_Memed_III
İnce Memed II,Yaşar Kemal,Türkiye,,Roman,1969,Ant Yayınları Yapı Kredi Yayınları,459,978-975-08-0717-6,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0nce_Memed_II
İbiş'in Rüyası,Tarık Buğra,,,,1970,Hisar Yayınları,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C4%B0bi%C5%9F%27in_R%C3%BCyas%C4%B1
Issız Erkekler Korosu,Canan Tan,,,Roman,2012 (1. Basım),Altın Kitaplar,,9789752114357,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Iss%C4%B1z_Erkekler_Korosu
Hüyükteki Nar Ağacı,Yaşar Kemal,Türkiye,,Kısa roman,1982,Toros Yayınları,,9789750807220,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/H%C3%BCy%C3%BCkteki_Nar_A%C4%9Fac%C4%B1
Heba,Hasan Ali Toptaş,Türkiye,,Roman,2013,İletişim Yayınları,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Heba_(roman)
Hayatı Sevme Hastalığı,Sibel K. Türker,Türkiye,,Roman,2012,Can Yayınları,240,9789750714818,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Hayat%C4%B1_Sevme_Hastal%C4%B1%C4%9F%C4%B1
Havva'nın Üç Kızı,Elif Şafak,,,Roman,,Doğan Kitap,424,978-605-09-3537-0,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Havva%27n%C4%B1n_%C3%9C%C3%A7_K%C4%B1z%C4%B1
Hasret,Canan Tan,,,Roman,2013 (1. Basım),Doğan Kitap,,9786050913149,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Hasret_(roman)
Gülünün Solduğu Akşam,Erdal Öz,Türkiye,1968 dönemi,Anı-Roman,1986,Can Yayınları,298,975-510-086-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/G%C3%BCl%C3%BCn%C3%BCn_Soldu%C4%9Fu_Ak%C5%9Fam
